id,grocery_bill_id,item_name,qty,unit_price,line_total
793d546d-58ca-43b1-9be8-0b07fb694784,b3f26559-3e91-4739-b1fc-bef0b8a25094,CHICKEN S GMS Pos |,1.000,11.00,7.00
81459fea-7834-4f49-b339-164c7ae5ba7e,59a42800-6b39-4587-9ba1-611f2680efdb,Bilai gandu,2.000,10.00,20.00
8390d685-f562-40d0-b174-fbdc24447a4a,616b7cc8-bdee-4fda-9065-24aab9a12cde,Potato India,0.600,15.00,9.00
83d8d2b6-c6d1-46fc-8f15-733a65bf719f,616b7cc8-bdee-4fda-9065-24aab9a12cde,Orange Egypt,4.000,4.50,18.00
840eb420-90eb-4387-8694-135abf5322b6,142fc339-8261-4feb-bbf8-e5dd719690f5,Tissue,1.000,30.00,30.00
882f9254-4dbc-47d7-bacb-86b9285582db,3480ebd1-6f63-46e0-9c66-9768b7cabb02,Taza water 5liter ×4,5.000,60.00,300.00
8aa41241-5bb6-49df-9f81-afe50adef385,b3f26559-3e91-4739-b1fc-bef0b8a25094,ORANGE EGYPT Pcs (Pcs),6.000,400.00,24.00
8e387eab-730e-441e-aac8-273149511b3e,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,GARLIC CHINA NEV Kg (Kg),0.100,40.00,4.00
9154100b-af50-4401-b9fe-f7ad6f25f6a6,5dbd1e96-a7f5-40a7-ab59-54082c043f75,Guava Pink India,1.410,85.00,119.85
94204a3c-c804-4041-95df-f6114a2f347f,17bbc62b-a3b7-4582-8b79-c521883a6126,Chicken 1200gm,1.000,66.00,66.00
97fed992-f37f-445f-ae9d-5388ce902b4e,564b99d3-777c-44e8-aab1-b22312faa8d0,Beetle Nut,1.000,175.00,175.00
9a2f5fb9-eb12-4f78-a8ea-674b89ea85d3,54a70f2d-cc95-4793-98a3-0e3fb9b63d22,Alcyon White bread Large-,2.000,25.00,50.00
9f6ed3e9-555e-4ffc-8e9b-baa6d2485dee,19ff272f-a981-4046-a81b-e4f11848e83d,Orange lp,10.000,4.50,45.00
